Compensation,Log(sales),Stock return,Volatility,Board size,Fraction of female,Fraction of independent,Gender,Age,Tenure,Number of other directorship,Retired
359.6714813,15.75055789,-0.415832612,2.186415548,7,0.571428571,0.142857143,1,50,32,1,0
338.1731522,15.75055789,-0.415832612,2.186415548,7,0.571428571,0.142857143,1,56,1,0,0
486.4320536,15.75055789,-0.415832612,2.186415548,7,0.571428571,0.142857143,1,47,2,2,1
284.8442936,15.75055789,-0.415832612,2.186415548,7,0.571428571,0.142857143,0,61,10,1,0
305.6711071,15.75055789,-0.415832612,2.186415548,7,0.571428571,0.142857143,0,51,15,0,0
216.1248391,15.75055789,-0.415832612,2.186415548,7,0.571428571,0.142857143,0,66,34,1,0
688.0216345,15.83876517,-0.244249757,1.632524326,12,0,0,0,55,21,1,1
299.1287292,15.83876517,-0.244249757,1.632524326,12,0,0,0,50,25,0,1
293.5982488,15.83876517,-0.244249757,1.632524326,12,0,0,0,67,4,2,1
751.3137344,15.83876517,-0.244249757,1.632524326,12,0,0,0,51,16,2,1
345.4714843,15.83876517,-0.244249757,1.632524326,12,0,0,0,51,18,4,0
1201.957377,15.83876517,-0.244249757,1.632524326,12,0,0,0,60,16,0,1
203.1331924,15.83876517,-0.244249757,1.632524326,12,0,0,0,71,13,2,1
374.4489553,15.83876517,-0.244249757,1.632524326,12,0,0,0,67,20,0,0
557.481639,15.83876517,-0.244249757,1.632524326,12,0,0,0,53,4,0,0
328.0700358,15.83876517,-0.244249757,1.632524326,12,0,0,0,64,17,1,0
781.8603636,15.83876517,-0.244249757,1.632524326,12,0,0,0,64,9,1,0
278.0868192,15.83876517,-0.244249757,1.632524326,12,0,0,0,54,17,0,1
445.5005202,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,1,59,13,0,0
548.2885749,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,1,71,2,1,1
1726.976244,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,1,52,14,1,0
445.810851,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,59,17,1,1
399.1778252,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,60,15,2,1
863.5488257,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,68,8,1,1
795.194866,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,70,13,1,1
1147.321882,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,58,6,2,0
1182.758813,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,63,15,1,1
369.9653488,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,66,33,0,1
491.7364618,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,74,33,3,1
333.4184906,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,52,10,2,1
863.1565425,15.7544297,1.051233574,1.62717927,13,0.230769231,0.384615385,0,43,17,3,0
692.3410646,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,64,24,1,1
199.7783033,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,65,26,2,0
751.6278178,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,60,24,1,1
1270.126194,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,61,21,1,0
407.6486562,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,45,4,2,1
810.0349196,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,59,31,0,1
344.2245326,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,71,33,0,1
2089.828403,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,48,15,1,1
558.9388596,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,67,2,1,0
506.0106209,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,52,21,1,0
348.1075174,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,1,65,18,0,0
695.6770104,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,0,48,4,0,1
492.83757,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,0,63,9,1,0
448.9486637,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,0,62,16,0,0
1177.35081,15.66518322,-0.084232037,0.49006201,15,0.733333333,0.466666667,0,49,19,3,0
1014.671783,15.97758582,-0.653770072,2.06967477,7,0.714285714,0.142857143,1,70,19,4,1
281.2982751,15.97758582,-0.653770072,2.06967477,7,0.714285714,0.142857143,1,58,33,0,0
467.8948954,15.97758582,-0.653770072,2.06967477,7,0.714285714,0.142857143,1,42,1,0,1
252.9156348,15.97758582,-0.653770072,2.06967477,7,0.714285714,0.142857143,1,62,2,1,1
419.9908378,15.97758582,-0.653770072,2.06967477,7,0.714285714,0.142857143,1,57,20,0,1
512.950473,15.97758582,-0.653770072,2.06967477,7,0.714285714,0.142857143,0,47,14,3,0
276.7010371,15.97758582,-0.653770072,2.06967477,7,0.714285714,0.142857143,0,55,17,3,1
298.4184866,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,67,25,1,0
212.95629,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,58,21,0,0
448.704245,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,39,0,0,0
342.0034028,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,64,20,2,1
746.6827054,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,67,14,1,0
784.0948131,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,63,5,1,1
621.4691224,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,51,25,1,0
441.8515347,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,49,21,0,1
251.9511775,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,1,62,11,3,0
482.1161638,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,0,62,5,0,0
406.2808298,15.82298703,-0.727463063,2.160378596,11,0.818181818,0.636363636,0,64,17,2,0
211.6617182,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,70,34,2,0
1031.669122,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,52,16,3,1
658.9774898,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,67,6,0,1
358.5583632,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,55,3,0,1
216.2719012,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,55,1,1,1
253.4173013,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,67,21,0,1
974.39561,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,69,30,3,0
437.8941252,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,49,12,2,1
481.1769552,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,1,51,15,2,1
297.171803,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,0,68,12,0,0
329.1187384,15.62451108,-0.072952544,2.331702397,11,0.818181818,0.454545455,0,53,1,0,1
246.8675384,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,1,45,10,1,0
182.1230324,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,1,64,10,2,0
156.3978248,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,1,64,26,1,1
575.9388837,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,0,66,22,2,1
251.6060088,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,0,66,28,4,1
289.3927087,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,0,71,6,0,0
1156.271415,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,0,55,17,0,0
221.267516,15.8643741,-1.8832651,0.915538208,8,0.375,0.5,0,51,15,2,1
641.5581493,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,1,56,18,2,0
253.1413837,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,1,51,16,2,1
524.3031276,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,1,56,0,2,0
388.5669695,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,1,66,17,1,1
255.8592843,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,1,64,13,0,0
640.0329243,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,1,69,5,2,0
729.4569502,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,0,59,16,0,1
398.7919217,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,0,64,16,2,1
372.4665283,15.58415036,-2.006173465,1.578342538,9,0.666666667,0.444444444,0,64,10,0,1
305.4549187,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,1,61,12,1,1
684.6490437,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,1,67,12,2,0
573.9743759,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,71,3,3,1
574.0294127,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,64,14,1,1
385.9000958,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,60,19,1,0
620.918234,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,64,5,1,0
804.4609031,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,64,2,1,0
1026.202491,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,53,14,1,0
424.6390639,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,71,2,0,0
470.9677972,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,58,10,2,1
458.7781228,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,73,23,0,1
968.9269264,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,74,11,2,0
729.5786927,15.97905242,0.095458032,1.099053363,13,0.153846154,0.307692308,0,65,2,0,1
323.004919,16.21679403,-0.535995601,1.420077961,7,0.714285714,0.428571429,1,69,24,2,0
626.9943835,16.21679403,-0.535995601,1.420077961,7,0.714285714,0.428571429,1,51,9,0,1
327.1841639,16.21679403,-0.535995601,1.420077961,7,0.714285714,0.428571429,1,58,13,2,1
878.6825714,16.21679403,-0.535995601,1.420077961,7,0.714285714,0.428571429,1,61,7,1,0
480.9997883,16.21679403,-0.535995601,1.420077961,7,0.714285714,0.428571429,1,47,34,1,0
1067.458794,16.21679403,-0.535995601,1.420077961,7,0.714285714,0.428571429,0,55,0,1,0
710.4796865,16.21679403,-0.535995601,1.420077961,7,0.714285714,0.428571429,0,69,10,1,0
438.5965125,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,1,67,17,2,0
973.3562555,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,1,60,0,2,0
303.3368371,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,1,67,27,1,1
848.9066594,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,1,51,2,1,0
702.452252,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,1,55,17,1,0
502.5719251,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,1,70,15,1,0
455.5408847,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,0,74,14,0,0
476.3353502,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,0,49,18,2,1
385.6952923,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,0,58,12,1,1
470.7711717,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,0,66,18,1,0
518.2698977,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,0,49,21,0,0
206.4840687,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,0,50,21,0,1
287.846415,15.85101314,-0.445941239,2.055380725,13,0.461538462,0.230769231,0,46,4,2,1
509.1880129,16.11715473,0.467601626,1.898274927,7,0.714285714,0.428571429,1,57,17,1,1
395.3747277,16.11715473,0.467601626,1.898274927,7,0.714285714,0.428571429,1,53,11,0,1
432.1909466,16.11715473,0.467601626,1.898274927,7,0.714285714,0.428571429,1,67,15,0,1
1345.722712,16.11715473,0.467601626,1.898274927,7,0.714285714,0.428571429,1,69,5,0,1
455.1607143,16.11715473,0.467601626,1.898274927,7,0.714285714,0.428571429,1,46,26,0,1
635.5952543,16.11715473,0.467601626,1.898274927,7,0.714285714,0.428571429,0,64,20,2,0
574.8638508,16.11715473,0.467601626,1.898274927,7,0.714285714,0.428571429,0,62,23,1,1
365.1366824,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,1,55,21,1,0
434.7841848,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,1,62,8,1,1
366.866765,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,1,53,14,2,0
645.6752603,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,1,68,1,1,0
573.2996007,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,1,66,15,2,1
196.9384327,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,1,68,23,1,0
564.0481554,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,1,51,7,1,0
520.086232,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,0,56,23,2,0
273.5649748,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,0,71,3,0,1
183.8784033,15.96391072,-2.202887399,0.912598782,10,0.7,0.4,0,69,17,1,0
726.3263542,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,1,67,16,2,1
996.3613338,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,1,68,10,1,1
1197.878093,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,1,57,10,1,0
186.7189563,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,1,60,1,3,0
975.6880764,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,1,65,17,2,0
1315.679818,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,64,19,1,0
876.0771246,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,66,17,3,1
276.8019844,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,63,1,2,0
466.7328267,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,55,22,0,1
1483.195979,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,56,14,1,0
594.5508468,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,63,17,0,0
621.3966848,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,63,0,0,1
553.5485992,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,44,1,1,0
479.9181836,16.1708203,-0.230411005,1.999997346,14,0.357142857,0.642857143,0,52,17,1,1
213.9420395,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,1,63,30,1,0
549.561537,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,1,55,23,1,1
177.8656465,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,1,55,7,1,0
431.7225339,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,1,60,18,1,1
208.6148949,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,62,9,0,0
690.8128977,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,68,4,4,1
373.2548612,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,50,14,2,1
736.3982011,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,63,18,2,0
539.7731303,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,55,19,0,1
357.4453522,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,56,10,1,0
583.2663581,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,62,2,0,0
773.6910984,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,55,2,0,0
458.4123844,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,64,19,2,1
206.3496106,15.65795996,-0.288849438,1.67982889,14,0.285714286,0.571428571,0,62,10,2,0
500.1134156,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,1,77,17,2,1
724.6503849,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,1,63,20,0,1
774.2561993,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,1,61,24,3,1
415.9998521,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,1,56,18,2,0
281.0769849,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,61,15,0,1
541.6444286,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,70,13,1,0
922.1390145,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,59,20,1,0
353.0125083,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,60,10,1,1
205.1940032,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,63,3,0,1
755.3312526,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,61,18,1,1
771.9224777,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,71,17,1,0
453.2720255,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,61,27,2,1
1037.713571,15.92259198,0.054750125,1.324527081,13,0.307692308,0.461538462,0,58,21,3,1
676.0306067,16.13424243,0.499337724,0.796026829,6,0.5,0.166666667,1,40,31,2,1
800.899035,16.13424243,0.499337724,0.796026829,6,0.5,0.166666667,1,60,3,4,1
694.7942159,16.13424243,0.499337724,0.796026829,6,0.5,0.166666667,1,59,5,3,1
208.3769086,16.13424243,0.499337724,0.796026829,6,0.5,0.166666667,0,56,3,1,0
792.6682094,16.13424243,0.499337724,0.796026829,6,0.5,0.166666667,0,60,12,2,1
1293.055409,16.13424243,0.499337724,0.796026829,6,0.5,0.166666667,0,52,19,1,0
281.4297683,15.59321477,-1.490863727,1.331505739,7,0,0.142857143,0,66,32,0,0
190.5923125,15.59321477,-1.490863727,1.331505739,7,0,0.142857143,0,60,0,0,0
309.1405433,15.59321477,-1.490863727,1.331505739,7,0,0.142857143,0,69,13,3,0
390.9984629,15.59321477,-1.490863727,1.331505739,7,0,0.142857143,0,70,15,3,1
440.5330645,15.59321477,-1.490863727,1.331505739,7,0,0.142857143,0,61,2,1,1
586.0729241,15.59321477,-1.490863727,1.331505739,7,0,0.142857143,0,62,13,0,0
355.4685151,15.59321477,-1.490863727,1.331505739,7,0,0.142857143,0,53,11,0,0
357.4964792,15.33940881,-1.249910208,0.749425743,7,0.428571429,0.571428571,1,65,14,0,1
553.4141293,15.33940881,-1.249910208,0.749425743,7,0.428571429,0.571428571,1,63,0,1,0
525.5483715,15.33940881,-1.249910208,0.749425743,7,0.428571429,0.571428571,1,49,18,0,1
1123.44313,15.33940881,-1.249910208,0.749425743,7,0.428571429,0.571428571,0,60,1,2,1
519.4235737,15.33940881,-1.249910208,0.749425743,7,0.428571429,0.571428571,0,66,1,1,1
458.469478,15.33940881,-1.249910208,0.749425743,7,0.428571429,0.571428571,0,60,4,0,1
260.4563764,15.33940881,-1.249910208,0.749425743,7,0.428571429,0.571428571,0,67,12,1,1
696.6821546,15.99132557,-0.987994123,1.379269721,7,0.714285714,0.428571429,1,55,15,1,0
226.0475439,15.99132557,-0.987994123,1.379269721,7,0.714285714,0.428571429,1,55,12,3,1
664.8022445,15.99132557,-0.987994123,1.379269721,7,0.714285714,0.428571429,1,63,14,0,1
341.9427647,15.99132557,-0.987994123,1.379269721,7,0.714285714,0.428571429,1,66,16,1,1
559.1533823,15.99132557,-0.987994123,1.379269721,7,0.714285714,0.428571429,1,73,19,0,1
719.0154176,15.99132557,-0.987994123,1.379269721,7,0.714285714,0.428571429,0,61,15,3,1
1024.645458,15.99132557,-0.987994123,1.379269721,7,0.714285714,0.428571429,0,54,16,1,0
1259.606238,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,1,65,14,1,0
740.5573287,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,1,59,20,0,1
339.8765952,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,1,69,14,2,0
426.8783858,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,1,60,1,2,1
480.2521484,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,1,62,5,0,0
605.282585,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,1,58,21,2,0
559.1549358,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,0,53,11,1,0
262.1642355,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,0,54,14,0,0
981.3606602,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,0,51,16,2,1
484.4938017,16.23175495,-0.673735226,0.918960371,10,0.6,0.1,0,47,11,0,0
353.8406195,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,1,66,18,2,0
721.4794888,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,1,61,31,1,0
336.803068,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,1,47,23,1,0
419.8843462,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,1,70,14,0,1
388.1008658,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,1,65,18,1,0
239.8262054,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,1,43,11,2,1
226.2632935,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,0,67,11,2,1
391.0130387,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,0,58,16,0,0
1158.243448,15.65955517,-1.066219974,1.338908367,9,0.666666667,0.333333333,0,61,10,2,1
723.5648912,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,57,5,2,1
739.1518752,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,54,12,1,1
490.3820555,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,61,3,1,1
693.1345137,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,64,1,3,0
227.4541153,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,60,17,0,0
359.0963435,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,56,9,0,1
511.3256921,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,51,11,0,0
597.9930157,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,56,4,1,1
986.4006725,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,60,27,0,1
404.7427079,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,66,20,0,1
818.3137496,16.14988165,0.510757107,1.072345068,11,0,0.090909091,0,72,2,1,0
1191.739781,15.7784483,2.610225194,0.716956123,3,0.333333333,0,1,60,1,0,0
462.479578,15.7784483,2.610225194,0.716956123,3,0.333333333,0,0,56,11,0,0
755.4521098,15.7784483,2.610225194,0.716956123,3,0.333333333,0,0,62,6,2,1
434.6713318,15.92715734,0.624359829,2.022325118,10,0.7,0.5,1,51,5,1,1
383.8684624,15.92715734,0.624359829,2.022325118,10,0.7,0.5,1,63,28,0,1
604.7229265,15.92715734,0.624359829,2.022325118,10,0.7,0.5,1,64,0,2,1
325.6942029,15.92715734,0.624359829,2.022325118,10,0.7,0.5,1,58,4,3,1
704.4106588,15.92715734,0.624359829,2.022325118,10,0.7,0.5,1,70,18,1,0
530.4616328,15.92715734,0.624359829,2.022325118,10,0.7,0.5,1,61,21,0,0
567.9409842,15.92715734,0.624359829,2.022325118,10,0.7,0.5,1,61,32,1,1
304.5604967,15.92715734,0.624359829,2.022325118,10,0.7,0.5,0,67,31,1,1
904.8528668,15.92715734,0.624359829,2.022325118,10,0.7,0.5,0,75,20,2,0
546.4648412,15.92715734,0.624359829,2.022325118,10,0.7,0.5,0,52,2,1,0
615.9913592,15.429834,0.817097156,1.356050064,10,0.5,0,1,63,18,5,1
554.6554022,15.429834,0.817097156,1.356050064,10,0.5,0,1,68,23,1,0
464.1560874,15.429834,0.817097156,1.356050064,10,0.5,0,1,54,2,0,0
652.7850856,15.429834,0.817097156,1.356050064,10,0.5,0,1,75,13,3,1
862.7219778,15.429834,0.817097156,1.356050064,10,0.5,0,1,73,10,1,0
395.2582279,15.429834,0.817097156,1.356050064,10,0.5,0,0,64,19,1,1
595.7655356,15.429834,0.817097156,1.356050064,10,0.5,0,0,59,3,1,1
248.6711285,15.429834,0.817097156,1.356050064,10,0.5,0,0,70,18,0,1
699.4098623,15.429834,0.817097156,1.356050064,10,0.5,0,0,50,2,2,0
532.9619438,15.429834,0.817097156,1.356050064,10,0.5,0,0,68,4,3,0
647.3190769,15.87979315,-0.15185771,3.348208337,7,0.285714286,0,1,61,6,0,1
713.4995827,15.87979315,-0.15185771,3.348208337,7,0.285714286,0,1,73,5,2,1
812.9438437,15.87979315,-0.15185771,3.348208337,7,0.285714286,0,0,60,10,1,0
615.1989791,15.87979315,-0.15185771,3.348208337,7,0.285714286,0,0,58,2,0,0
221.3030264,15.87979315,-0.15185771,3.348208337,7,0.285714286,0,0,55,21,1,0
781.5124462,15.87979315,-0.15185771,3.348208337,7,0.285714286,0,0,56,25,2,1
